text length,abstract/ms,abstract/bytes,matrix/ms,matrix/bytes,tree/ms,tree/bytes,kmp/ms,kmp/bytes
136000,76.252,552,1.489,550432,73.134,79392,66.96,550432
137000,80.857,552,1.369,550432,76.573,79392,67.078,550432
138000,80.01,552,1.545,550432,75.833,79392,67.368,550432
139000,79.675,552,1.599,550432,74.827,79392,70.538,550432
140000,80.184,552,1.55,550432,76.336,79392,68.516,550432
141000,81.382,552,1.492,550432,75.675,79392,70.295,550432
142000,82.798,552,1.488,550432,79.25,79392,69.155,550432
143000,80.339,552,1.645,550432,76.097,79392,69.416,550432
144000,83.038,552,1.57,550432,77.414,79392,69.954,550432
145000,82.29,552,1.652,550432,77.149,79392,70.948,550432
146000,83.539,552,1.503,550432,78.318,79392,70.6,550432
147000,94.533,552,1.571,550432,76.996,79392,71.281,550432
148000,83.084,552,1.586,550432,78.816,79392,71.533,550432
149000,82.627,552,1.607,550432,78.041,79392,71.953,550432
150000,83.555,552,1.606,550432,80.569,79392,73.457,550432
151000,83.53,552,1.627,550432,78.696,79392,72.419,550432
152000,83.239,552,1.632,550432,80.307,79392,72.965,550432
153000,83.94,552,1.611,550432,79.057,79392,73.468,550432
154000,86.734,552,1.602,550432,80.388,79392,73.744,550432
155000,86.167,552,1.577,550432,82.946,79392,74.097,550432
156000,84.853,552,1.649,550432,80.193,79392,75.927,550432
157000,86.324,552,1.559,550432,81.732,79392,75.151,550432
158000,85.914,552,1.764,550432,80.314,79392,75.463,550432
159000,86.501,552,1.74,550432,80.367,79392,75.699,550432
160000,88.017,552,1.579,550432,82.076,79392,76.534,550432
161000,85.727,552,1.751,550432,79.36,79392,76.751,550432
162000,87.814,552,1.762,550432,82.626,79392,77.758,550432
163000,88.504,552,1.793,550432,81.774,79392,78.136,550432
164000,88.861,552,1.809,550432,82.854,79392,78.081,550432
165000,87.993,552,1.725,550432,82.87,79392,77.983,550432
166000,89.893,552,1.665,550432,84.75,79392,78.145,550432
167000,89.599,552,1.726,550432,83.199,79392,78.966,550432
168000,92.158,552,1.827,550432,84.321,79392,79.253,550432
169000,91.14,552,1.733,550432,82.655,79392,80.084,550432
170000,91.381,552,1.692,550432,86.365,79392,81.342,550432
171000,90.532,552,1.799,550432,83.507,79392,80.586,550432
172000,89.862,552,1.882,550432,83.644,79392,82.632,550432
173000,95.736,552,1.917,550432,90.348,79392,83.956,550432
174000,95.135,552,1.879,550432,89.38,79392,84.361,550432
175000,96.605,552,1.888,550432,91.079,79392,84.468,550432
176000,97.041,552,1.98,550432,90.823,79392,84.368,550432
177000,95.89,552,1.787,550432,89.872,79392,83.515,550432
178000,92.226,552,1.907,550432,87.538,79392,83.273,550432
179000,94.369,552,1.785,550432,87.147,79392,83.73,550432
180000,93.698,552,1.82,550432,86.775,79392,84.137,550432
181000,95.187,552,1.809,550432,87.013,79392,83.868,550432
182000,96.129,552,1.839,550432,89.031,79392,84.683,550432
183000,93.43,552,1.909,550432,85.961,79392,84.998,550432
184000,95.561,552,1.813,550432,88.602,79392,85.912,550432
185000,94.862,552,1.889,550432,87.179,79392,85.74,550432
186000,94.719,552,2.066,550432,88.533,79392,86.087,550432
187000,94.677,552,1.892,550432,89.899,79392,86.757,550432
188000,97.668,552,1.781,550432,89.831,79392,87.137,550432
189000,97.102,552,1.902,550432,88.518,79392,87.802,550432
190000,99.38,552,1.808,550432,91.772,79392,87.685,550432
191000,96.815,552,2.023,550432,89.315,79392,89.031,550432
192000,99.634,552,1.788,550432,92.828,79392,88.791,550432
193000,99.469,552,1.936,550432,91.279,79392,96.722,550432
194000,98.002,552,2.048,550432,91.234,79392,90.855,550432
195000,100.632,552,1.905,550432,91.776,79392,91.029,550432
196000,98.209,552,2.063,550432,90.843,79392,91.058,550432
197000,101.108,552,2.004,550432,91.997,79392,91.162,550432
198000,100.021,552,2.089,550432,91.83,79392,92.222,550432
199000,98.447,552,2.049,550432,92.19,79392,92.068,550432
200000,102.048,552,2.095,550432,93.395,79392,92.134,550432
201000,99.532,552,2.106,550432,91.394,79392,92.145,550432
202000,100.69,552,1.995,550432,94.462,79392,92.566,550432
203000,103.589,552,2.073,550432,92.975,79392,93.038,550432
204000,101.966,552,2.041,550432,94.389,79392,93.57,550432
205000,101.863,552,2.178,550432,91.79,79392,93.841,550432
206000,100.801,552,2.137,550432,93.046,79392,94.696,550432
207000,101.91,552,2.067,550432,93.891,79392,96.172,550432
208000,103.656,552,2.074,550432,95.823,79392,96.702,550432
209000,103.253,552,2.088,550432,96.216,79392,96.927,550432
210000,105.422,552,2.062,550432,99.219,79392,97.54,550432
211000,102.756,552,2.156,550432,92.35,79392,98.35,550432
212000,104.751,552,2.128,550432,98.005,79392,97.913,550432
213000,105.14,552,2.076,550432,96.879,79392,98.181,550432
214000,104.7,552,2.21,550432,95.858,79392,98.199,550432
215000,102.683,552,2.188,550432,95.01,79392,99.446,550432
216000,101.787,552,2.256,550432,95.377,79392,98.19,550432
217000,105.639,552,2.068,550432,95.647,79392,99.141,550432
218000,107.924,552,2.132,550432,96.496,79392,98.792,550432
219000,104.738,552,2.252,550432,95.563,79392,98.935,550432
220000,107.48,552,2.095,550432,98.574,79392,99.632,550432
221000,107.736,552,2.201,550432,96.503,79392,100.574,550432
222000,108.504,552,2.156,550432,99.545,79392,101.504,550432
223000,108.084,552,2.269,550432,97.733,79392,102.19,550432
224000,107.554,552,2.285,550432,99.917,79392,102.112,550432
225000,108.218,552,2.316,550432,99.422,79392,103.069,550432
226000,107.956,552,2.286,550432,98.538,79392,102.904,550432
227000,107.827,552,2.339,550432,99.185,79392,103.543,550432
228000,112.594,552,2.137,550432,100.806,79392,103.948,550432
229000,110.973,552,2.283,550432,100.081,79392,104.359,550432
230000,111.325,552,2.187,550432,102.625,79392,104.645,550432
231000,111.26,552,2.393,550432,99.516,79392,105.03,550432
232000,110.809,552,2.318,550432,100.317,79392,105.243,550432
233000,109.525,552,2.418,550432,99.463,79392,106.083,550432
234000,110.164,552,2.459,550432,101.861,79392,106.555,550432
235000,114.291,552,2.159,550432,104.596,79392,105.202,550432
236000,112.54,552,2.201,550432,104.245,79392,113.68,550432
237000,120.915,552,2.522,550432,106.032,79392,107.253,550432
238000,114.306,552,2.248,550432,106.575,79392,107.908,550432
239000,114.189,552,2.241,550432,127.662,79392,109.111,550432
240000,113.621,552,2.332,550432,103.497,79392,107.134,550432
241000,112.508,552,2.339,550432,102.756,79392,107.996,550432
